date,national_demand,wind_generation,solar_generation,daily_average_forecast_carbon_intensity,daily_average_actual_carbon_intensity,sap_actual_p_per_kwh,sap_7day_rolling_average_p_per_kwh,day,month,weekday,weekday_number,is_weekend
2023-02-03,29484.666666666668,2371.8333333333335,539.7083333333334,114.33333333333333,116.29166666666667,5.1112,4.9757,3,2,Friday,4,False
2023-02-04,27871.833333333332,1798.6041666666667,220.29166666666663,134.35416666666666,127.625,5.3017,4.9711,4,2,Saturday,5,True
2023-02-05,28041.354166666668,1261.6875,1261.0625,132.60416666666666,131.54166666666666,5.5399,5.0338,5,2,Sunday,6,True
2023-02-06,31858.375,1263.125,1588.7708333333333,208.20833333333334,212.0,5.347,5.1559,6,2,Monday,0,False
2023-02-07,32794.770833333336,828.75,1310.5625,255.6875,248.10416666666666,4.9653,5.2313,7,2,Tuesday,1,False
2023-02-08,31780.875,2432.1875,1349.3333333333333,182.77083333333334,183.47916666666666,4.7297,5.2239,8,2,Wednesday,2,False
2023-02-09,31520.083333333332,1951.0,1333.6041666666667,182.14583333333334,183.10416666666666,4.6503,5.1474,9,2,Thursday,3,False
2023-02-10,31042.5,2634.5208333333335,782.6458333333334,149.72916666666666,152.04166666666666,4.8045,5.0922,10,2,Friday,4,False
2023-02-11,28143.729166666668,1350.7708333333333,435.2291666666667,169.4375,174.33333333333334,4.6578,5.0483,11,2,Saturday,5,True
2023-02-12,28129.0,1001.7708333333334,335.25,215.25,216.14583333333334,4.5557,4.9564,12,2,Sunday,6,True
2023-02-13,30433.229166666668,1136.2083333333333,1322.1875,239.27083333333334,242.66666666666666,4.4833,4.8158,13,2,Monday,0,False
2023-02-14,31021.354166666668,1648.4583333333333,1259.1666666666667,216.52083333333334,226.54166666666666,4.5649,4.6924,14,2,Tuesday,1,False
2023-02-15,30010.9375,2233.875,1164.8541666666667,133.39583333333334,160.70833333333334,4.6714,4.6352,15,2,Wednesday,2,False
2023-02-16,30374.583333333332,1808.0,418.8541666666667,150.41666666666666,158.77083333333334,4.4046,4.6268,16,2,Thursday,3,False
2023-02-17,27381.6875,3443.4375,773.875,105.52083333333333,101.77083333333333,4.1138,4.5917,17,2,Friday,4,False
2023-02-18,25304.541666666668,2395.6458333333335,569.6458333333334,93.33333333333333,94.20833333333333,4.0518,4.4931,18,2,Saturday,5,True
2023-02-19,24233.145833333332,2507.3541666666665,1394.1458333333333,96.47916666666667,105.08333333333333,4.0283,4.4065,19,2,Sunday,6,True
2023-02-20,27629.854166666668,3231.9791666666665,1078.7916666666667,100.9375,113.83333333333333,4.1076,4.3312,20,2,Monday,0,False
2023-02-21,30124.020833333332,1468.3125,666.8958333333334,172.47916666666666,201.5,4.3462,4.2775,21,2,Tuesday,1,False
2023-02-22,30365.375,1649.3958333333333,659.8333333333334,218.39583333333334,220.35416666666666,4.2262,4.2462,22,2,Wednesday,2,False
2023-02-23,30447.0,1882.5208333333333,1038.4583333333333,177.04166666666666,177.97916666666666,4.4584,4.1826,23,2,Thursday,3,False
2023-02-24,30149.270833333332,2215.5833333333335,865.0416666666666,136.1875,131.22916666666666,4.5793,4.1903,24,2,Friday,4,False
2023-02-25,27893.229166666668,1815.6458333333333,967.2291666666666,122.95833333333333,120.20833333333333,4.4448,4.2568,25,2,Saturday,5,True
2023-02-26,27702.270833333332,1166.6875,1447.5,167.29166666666666,170.3125,4.4524,4.313,26,2,Sunday,6,True
2023-02-27,32134.333333333332,1009.5833333333334,1008.9791666666666,239.54166666666666,241.08333333333334,4.2583,4.3736,27,2,Monday,0,False
2023-02-28,32316.395833333332,1288.875,693.1458333333334,250.14583333333334,250.47916666666666,4.144,4.3951,28,2,Tuesday,1,False
2023-03-01,31967.583333333332,1630.0208333333333,741.4791666666666,231.77083333333334,229.9375,4.2508,4.3662,1,3,Wednesday,2,False
2023-03-02,31807.916666666668,877.7916666666666,1526.3541666666667,247.52083333333334,247.375,4.3259,4.3697,2,3,Thursday,3,False
2023-03-03,32557.0,725.8958333333334,578.9791666666666,251.3125,249.3125,4.2215,4.3508,3,3,Friday,4,False
2023-03-04,29705.354166666668,538.3958333333334,527.8125,240.02083333333334,238.04166666666666,4.3246,4.2997,4,3,Saturday,5,True
2023-03-05,29436.0,483.75,544.7708333333334,243.9375,243.85416666666666,4.3304,4.2825,5,3,Sunday,6,True
2023-03-06,32192.5,1789.7916666666667,754.5625,224.04166666666666,223.3125,4.0239,4.2651,6,3,Monday,0,False
2023-03-07,32505.833333333332,895.1666666666666,1372.3541666666667,250.79166666666666,257.1041666666667,4.145,4.2316,7,3,Tuesday,1,False
2023-03-08,34467.25,1339.7291666666667,539.8125,241.58333333333334,235.08333333333334,4.0816,4.2317,8,3,Wednesday,2,False
2023-03-09,34015.1875,1861.7291666666667,356.1875,192.70833333333334,187.5,4.0005,4.2076,9,3,Thursday,3,False
2023-03-10,32245.479166666668,1612.2083333333333,1298.7291666666667,159.375,159.375,4.4084,4.1611,10,3,Friday,4,False
2023-03-11,29414.270833333332,1293.0208333333333,1382.3125,197.4375,185.52083333333334,4.5827,4.1878,11,3,Saturday,5,True
2023-03-12,25847.333333333332,2662.1041666666665,1198.9166666666667,70.8125,70.27083333333333,4.3641,4.2246,12,3,Sunday,6,True
2023-03-13,27563.395833333332,3926.6041666666665,978.2916666666666,61.3125,63.229166666666664,4.2586,4.2295,13,3,Monday,0,False
2023-03-14,29775.354166666668,2112.4375,1853.6458333333333,123.14583333333333,129.5,3.9126,4.263,14,3,Tuesday,1,False
2023-03-15,32105.791666666668,1494.7708333333333,1084.0,201.58333333333334,193.4375,3.8679,4.2298,15,3,Wednesday,2,False
2023-03-16,29395.645833333332,2532.8958333333335,733.125,102.1875,100.08333333333333,3.6698,4.1993,16,3,Thursday,3,False
2023-03-17,28545.375,1278.8541666666667,1196.7291666666667,163.41666666666666,167.72916666666666,3.5555,4.152,17,3,Friday,4,False
2023-03-18,25855.708333333332,1016.8125,1146.375,169.0,159.1875,3.5183,4.0302,18,3,Saturday,5,True
2023-03-19,24941.708333333332,1189.4583333333333,1560.8333333333333,159.79166666666666,159.72916666666666,3.5349,3.8781,19,3,Sunday,6,True
2023-03-20,29426.875,1525.4583333333333,579.0,180.60416666666666,181.14583333333334,3.3642,3.7597,20,3,Monday,0,False
2023-03-21,27189.479166666668,2717.3333333333335,1402.3333333333333,96.9375,97.89583333333333,3.2671,3.6319,21,3,Tuesday,1,False
2023-03-22,25517.416666666668,3902.5208333333335,1704.2083333333333,66.25,66.97916666666667,3.2357,3.5397,22,3,Wednesday,2,False
2023-03-23,26422.416666666668,2828.7291666666665,1549.8125,68.89583333333333,73.75,3.4552,3.4494,23,3,Thursday,3,False
2023-03-24,25533.3125,2841.625,1987.2916666666667,74.125,61.770833333333336,3.5515,3.4187,24,3,Friday,4,False
2023-03-25,24140.416666666668,2226.8958333333335,1704.3125,98.10416666666667,97.14583333333333,3.6028,3.4181,25,3,Saturday,5,True
2023-03-26,26073.369565217392,1522.4347826086955,1046.7173913043478,138.39583333333334,128.54166666666666,3.681,3.4302,26,3,Sunday,6,True
2023-03-27,28696.479166666668,706.3958333333334,2405.3541666666665,194.45833333333334,188.70833333333334,3.4372,3.4511,27,3,Monday,0,False
2023-03-28,30133.979166666668,2036.1041666666667,483.5625,145.66666666666666,143.3125,3.6083,3.4615,28,3,Tuesday,1,False
2023-03-29,29147.708333333332,2110.3958333333335,558.3541666666666,129.66666666666666,126.52083333333333,3.5781,3.5102,29,3,Wednesday,2,False
2023-03-30,26565.333333333332,1963.625,1763.5833333333333,109.25,106.14583333333333,3.5198,3.5592,30,3,Thursday,3,False
